CoinID,Algorithm,ProofType,TotalCoinsMined,CirculatingSupply,class,CoinName
NSR,PoS,PoS,6169648393.8311,0.0,0,NuShares
TRI,X13,PoW/PoS,191617.507786,0.0,0,Triangles Coin
CMTC,Scrypt,PoW,872830.0,0.0,1,CometCoin
CHAT,Scrypt,PoW/PoS,1000000000.0,0.0,0,OpenChat
QRL,RandomX,PoW,75494041.25239772,0.0,1,Quantum Resistant Ledger
PURA,X11,PoW,188358976.83969808,0.0,1,Pura
BTCP,Equihash,PoW,3818878.3878015447,0.0,1,Bitcoin Private
ADK,IMesh,PoW,25000000.0,0.0,1,Aidos Kuneen
DAPS,Dagger, PoW/PoS/PoA,62319462900.0,0.0,2,DAPS Coin
ZANO,ProgPowZ,PoW/PoS,12933671.879440896,12933671.879440896,0,Zano
VEIL,X16RT,PoW/PoS,119516479.71487108,0.0,0,VEIL
MWC,C31,PoW,10799570.8569404,0.0,1,MimbleWimbleCoin
RVC,X16R,PoW,10223475000.0,0.0,1,Ravencoin Classic
XDNA,HEX,PoW/PoS,8830765.0,0.0,0,XDNA
WBBC,SHA-256,PoW,1000016730264.435,0.0,1,Wibcoin
TPAY,POS 3.0,PoS,21880393.0,0.0,0,TokenPay
ETZ,Ethash,PoW,228471761.95,0.0,1,EtherZero
QRK,Quark,PoW/PoS,276897014.72166574,0.0,0,QuarkCoin
AR,SHA-256,PoW,64598643.0,50108502.0,1,Arweave
MAPS,SPL Token,PoH,1000000000.0,0.0,2,MAPS
BTH,Equihash,PoW,30886000.0,0.0,1,Bithereum
BCMC1,Ethash,PoW/PoS,8553027612.562047,0.0,0,BeforeCoinMarketCap
RBTC,SHA-256,PoW,2558.4671833136335,0.0,1,Smart Bitcoin
UBTC,SHA-256,PoW,21000000.0,0.0,1,UnitedBitcoin
VRC,Scrypt,PoST,34383368.85908023,0.0,0,VeriCoin
EMC,SHA-256,PoW/PoS,48123001.354094,0.0,1,Emercoin
COVAL,Multiple,PoW,1776646548.8927474,0.0,1,Circuits of Value
ERG,Autolykos,PoW,47465421.0,0.0,1,Ergo
GENIX,X16R,PoW,109130136.0,0.0,1,Genix
BEAM,Equihash,PoW,69527581.68901487,0.0,1,Beam
STRAX,X13,PoS,131703669.40699798,0.0,0,Stratis
AEON,CryptoNight-Lite,PoW,17999601.80669651,0.0,1,AEON
CDN,Scrypt,AuxPoW,99893648.0,0.0,0,Canada eCoin
TENT,Equihash,PoW,38742200.0,0.0,1,TENT
ARRR,Equihash,dPoW,188795049.25075,0.0,1,Pirate Chain
INT,IMesh,DPoS/dBFT,763616165.7221346,0.0,0,Internet Node token
